"Simulator","P_Value","Normal"
"depolarizing_01",0.802852731665125,TRUE
"depolarizing_02",0.310810564706033,TRUE
"depolarizing_05",0.373506073513919,TRUE
"fake_brisbane",0.196244559768854,TRUE
"ideal",4.713464013123e-05,FALSE
"sampling_noise",0.949972759013795,TRUE
