dataset,sub_suite_id,sampler,best_of_iter_AR,median_of_iter_AR
elevator,114,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,114,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,114,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,114,Sampling Noise Only,1.0,1.0
elevator,114,Statevector Simulator,1.0,1.0
elevator,115,Fake Brisbane Backend,1.0,1.0
elevator,115,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,115,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,115,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,115,Sampling Noise Only,1.0,1.0
elevator,115,Statevector Simulator,1.0,1.0
elevator,116,Fake Brisbane Backend,1.0,1.0
elevator,116,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,116,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,116,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,116,Sampling Noise Only,1.0,1.0
elevator,116,Statevector Simulator,1.0,1.0
elevator,117,Fake Brisbane Backend,1.0,1.0
elevator,117,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,117,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,117,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,117,Sampling Noise Only,1.0,1.0
elevator,117,Statevector Simulator,1.0,1.0
elevator,118,Fake Brisbane Backend,1.0,1.0
elevator,118,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,118,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,118,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,118,Sampling Noise Only,1.0,1.0
elevator,118,Statevector Simulator,1.0,1.0
elevator,119,Fake Brisbane Backend,1.0,1.0
elevator,119,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,119,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,119,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,119,Sampling Noise Only,1.0,1.0
elevator,119,Statevector Simulator,1.0,1.0
elevator,12,Fake Brisbane Backend,1.0,1.0
elevator,12,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,12,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,12,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,12,Sampling Noise Only,1.0,1.0
elevator,12,Statevector Simulator,1.0,1.0
elevator,120,Fake Brisbane Backend,1.0,1.0
elevator,120,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,120,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,120,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,120,Sampling Noise Only,1.0,1.0
elevator,120,Statevector Simulator,1.0,1.0
elevator,121,Fake Brisbane Backend,1.0,1.0
elevator,121,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,121,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,121,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,121,Sampling Noise Only,1.0,1.0
elevator,121,Statevector Simulator,1.0,1.0
elevator,122,Fake Brisbane Backend,1.0,1.0
elevator,122,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,122,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,122,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,122,Sampling Noise Only,1.0,1.0
elevator,122,Statevector Simulator,1.0,1.0
elevator,123,Fake Brisbane Backend,1.0,1.0
elevator,123,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,123,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,123,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,123,Sampling Noise Only,1.0,1.0
elevator,123,Statevector Simulator,1.0,1.0
elevator,124,Fake Brisbane Backend,1.0,1.0
elevator,124,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,124,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,124,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,124,Sampling Noise Only,1.0,1.0
elevator,124,Statevector Simulator,1.0,1.0
elevator,125,Fake Brisbane Backend,1.0,1.0
elevator,125,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,125,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,125,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
